Competência;Temática;Título;Instituição;Modalidade;Carga Horária;Público-Alvo;Link
kodksaosk;Orçamento;PRATICANDO A GESTÃO DE ORÇAMENTO E FINANÇAS: EXECUÇÃO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;24 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2076/?area=9
dfkdpfkpoakdf;Orçamento;PRATICANDO A GESTÃO DE ORÇAMENTO E FINANÇAS: PROGRAMAÇÃO ORÇAMENTÁRIA;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;24 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2077/?area=9
fddijfioajofijdsa;Orçamento;PRATICANDO A CELEBRAÇÃO DE PARCERIAS VIA TED E ACT;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2261/?area=43
dfifjia;Indicadores gerenciais;PRATICANDO A ELABORAÇÃO DE INDICADORES DE DESEMPENHO INSTITUCIONAL;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2051/?area=9
dfkkap;Indicadores gerenciais;CRIAÇÃO DE INDICADORES DE DESEMPENHO PARA A TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/801/
kokokapoakpd;Indicadores gerenciais;ELABORAÇÃO DE INDICADORES DE DESEMPENHO INSTITUCIONAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/604/
kodksaosk;Apuração de custos;METODOLOGIA COST MODEL APLICADA À ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/811
dfkdpfkpoakdf;Planilhas eletrônicas;INTRODUÇÃO AO EXCEL ;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/459
fddijfioajofijdsa;Power BI;PRATICANDO BUSINESS INTELLIGENCE;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;32 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2016/?area=2
dfifjia;Power BI;APLICAÇÃO DO POWER BI PARA APRIMORAMENTO DA GESTÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/840
dfkkap;DADOS;USO DE EVIDÊNCIAS PARA TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2065/?area=2
kokokapoakpd;DADOS;BIG DATA EM APOIO À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/800
kodksaosk;DADOS;ESTATÍSTICA PARA ANÁLISE DE DADOS NA ADMINISTRAÇÃO PÚBLICA;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/930
dfkdpfkpoakdf;DADOS;VISUALIZAÇÃO DE DADOS APLICADA À TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/802
