Competência;Temática;Título;Instituição;Carga Horária;LINK;MODALIDADE
kokokapoakpd;Gestão estratégica de Pessoas;EMPLOYEE EXPERIENCE (EX): ENGAJAMENTO E PRODUTIVIDADE NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/805/;EAD
kodksaosk;Gestão estratégica de Pessoas;ATUAÇÃO ESTRATÉGICA DE EQUIPES DE GESTÃO DE PESSOAS;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2020/?area=3;REMOTO
dfkdpfkpoakdf;Gestão estratégica de Pessoas;PRATICANDO O DIMENSIONAMENTO DA FORÇA DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2055/?area=7;REMOTO
fddijfioajofijdsa;Gestão estratégica de Pessoas;QUALIFICAÇÃO EM DIMENSIONAMENTO DA FORÇA DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/863/;EAD
dfifjia;Inovação;PRINCÍPIOS DO DESIGN THINKING E INOVAÇÃO EM GOVERNO;https://acad-inpi.github.io/black/enap-logo.png;10 h/a;https://www.escolavirtual.gov.br/curso/326;EAD
dfkkap;Inovação;TRANSFORMANDO SERVIÇOS COM DESIGN THINKING;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/1140/?area=11;REMOTO
kokokapoakpd;Inovação;PRATICANDO A TRANSFORMAÇÃO DE SERVIÇOS COM DESIGN THINKING;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2028/?area=12;REMOTO
kodksaosk;Gestão do Conhecimento;PRATICANDO A GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2061/?area=9;REMOTO
dfkdpfkpoakdf;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/414/;EAD
fddijfioajofijdsa;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO: TEORIA E PRÁTICAS;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/904/;EAD
